Temperature,Humidity,Wind Speed,Precipitation (%),Cloud Cover,Atmospheric Pressure,UV Index,Season,Visibility (km),Location,Weather Type
66.0,86.0,11.0,106.0,clear,1014.41,6.0,Autumn,9.5,inland,Sunny
11.0,,33.0,73.0,partly cloudy,999.97,0.0,Winter,1.5,,Rainy
-6.0,96.0,10.5,75.0,overcast,986.32,0.0,Winter,,mountain,Snowy
46.0,106.0,20.0,,clear,1012.23,8.0,Autumn,10.0,coastal,Sunny
-4.0,96.0,19.5,,overcast,995.61,1.0,Winter,4.5,mountain,Snowy
25.0,68.0,8.5,,overcast,1015.64,3.0,Autumn,7.5,coastal,Cloudy
4.0,62.0,15.0,90.0,overcast,981.92,0.0,Winter,2.5,,
-2.0,88.0,10.5,101.0,,,6.0,Winter,0.5,,Snowy
12.0,61.0,5.5,50.0,overcast,1017.93,3.0,Spring,1.5,coastal,Rainy
-13.0,69.0,3.5,26.0,overcast,930.59,2.0,Winter,2.0,coastal,Snowy
,59.0,1.0,8.0,clear,1029.79,,Spring,9.5,coastal,Sunny
21.0,66.0,13.0,59.0,partly cloudy,1008.59,2.0,Winter,1.5,mountain,Rainy
-4.0,65.0,,58.0,,989.56,1.0,Winter,4.5,inland,Snowy
26.0,28.0,5.5,4.0,clear,1021.68,7.0,Spring,,mountain,Sunny
41.0,23.0,8.5,5.0,,1026.96,10.0,Autumn,6.0,,Sunny
,92.0,16.0,56.0,overcast,1007.49,2.0,Winter,3.0,mountain,Rainy
-1.0,94.0,3.5,,overcast,986.81,1.0,Winter,3.5,mountain,Snowy
25.0,40.0,7.0,4.0,,1020.05,,Spring,8.0,mountain,Sunny
21.0,70.0,20.0,101.0,overcast,1010.6,13.0,Summer,10.5,coastal,Cloudy
30.0,,1.0,15.0,overcast,,1.0,Summer,6.5,coastal,Cloudy
,52.0,,48.0,partly cloudy,1001.08,1.0,Spring,6.0,inland,Cloudy
39.0,38.0,5.0,14.0,clear,1014.79,10.0,Summer,6.5,coastal,Sunny
38.0,48.0,8.5,,clear,1012.22,8.0,Autumn,6.0,inland,Sunny
36.0,52.0,5.0,15.0,clear,1011.81,7.0,Autumn,9.0,coastal,Sunny
-2.0,73.0,,62.0,partly cloudy,988.48,0.0,Winter,5.0,inland,Snowy
-8.0,88.0,1.0,70.0,overcast,992.06,,Winter,3.5,mountain,Snowy
30.0,70.0,8.0,29.0,partly cloudy,1007.81,3.0,Autumn,7.0,coastal,Cloudy
-9.0,79.0,2.5,56.0,overcast,995.49,1.0,Winter,3.0,mountain,Snowy
21.0,56.0,13.0,19.0,overcast,,1.0,Autumn,,mountain,
12.0,78.0,,78.0,overcast,993.82,6.0,Spring,4.0,inland,Rainy
11.0,77.0,9.0,19.0,overcast,1013.48,,Autumn,5.0,inland,Cloudy
12.0,64.0,10.5,68.0,overcast,1007.82,0.0,Winter,3.0,mountain,Rainy
15.0,56.0,12.5,39.0,overcast,1011.58,3.0,Spring,6.0,mountain,
13.0,52.0,8.5,35.0,partly cloudy,1007.99,1.0,Winter,,mountain,Cloudy
20.0,81.0,9.5,66.0,overcast,1004.71,3.0,Spring,2.0,coastal,Rainy
34.0,67.0,1.0,45.0,partly cloudy,1001.78,1.0,Spring,6.5,mountain,Cloudy
,29.0,6.0,84.0,partly cloudy,984.17,2.0,,19.5,mountain,Cloudy
43.0,71.0,12.0,81.0,cloudy,807.13,10.0,Winter,3.5,coastal,Sunny
38.0,106.0,1.0,81.0,clear,,9.0,Autumn,8.5,coastal,Sunny
-2.0,78.0,3.0,21.0,overcast,1057.25,0.0,Spring,18.0,mountain,Sunny
-6.0,,0.5,68.0,overcast,989.59,0.0,Winter,3.0,mountain,Snowy
27.0,60.0,11.5,67.0,partly cloudy,999.61,9.0,,1.5,mountain,Sunny
22.0,76.0,0.0,47.0,partly cloudy,1015.96,1.0,Summer,7.5,mountain,Cloudy
14.0,65.0,10.5,58.0,overcast,1007.55,,Summer,3.0,coastal,Rainy
-9.0,,19.0,82.0,overcast,988.4,1.0,Winter,5.0,mountain,Snowy
2.0,80.0,3.5,63.0,overcast,983.09,1.0,Winter,5.0,mountain,Snowy
33.0,24.0,3.5,7.0,clear,1016.52,5.0,Autumn,5.0,inland,Sunny
14.0,55.0,14.0,30.0,overcast,1001.35,3.0,Spring,,coastal,Cloudy
1.0,70.0,18.5,89.0,,,1.0,Winter,2.5,inland,Snowy
-4.0,73.0,0.0,81.0,overcast,892.31,14.0,Summer,,inland,Sunny
12.0,65.0,11.5,32.0,overcast,,2.0,Autumn,7.5,coastal,Cloudy
30.0,46.0,3.0,5.0,partly cloudy,1012.7,8.0,Autumn,5.5,coastal,
41.0,28.0,5.0,17.0,,1026.26,9.0,Autumn,9.0,mountain,Sunny
23.0,49.0,0.5,1.0,clear,,7.0,Autumn,9.0,,Sunny
-6.0,83.0,,90.0,,,,Winter,1.0,inland,
1.0,95.0,2.5,83.0,overcast,997.12,0.0,Winter,1.5,inland,Snowy
32.0,68.0,5.5,38.0,partly cloudy,1008.33,2.0,Autumn,8.5,inland,Cloudy
-12.0,93.0,,80.0,overcast,,14.0,Winter,3.0,inland,Snowy
12.0,73.0,13.5,33.0,partly cloudy,1005.12,3.0,Spring,6.5,inland,Cloudy
,95.0,11.5,85.0,overcast,982.49,1.0,Winter,1.5,mountain,Snowy
22.0,51.0,,2.0,clear,1019.86,5.0,Winter,8.0,inland,Sunny
-6.0,96.0,20.0,78.0,partly cloudy,984.51,1.0,Winter,1.0,mountain,Snowy
15.0,,13.5,61.0,,1006.08,3.0,Spring,2.5,mountain,Rainy
42.0,67.0,4.5,7.0,clear,,11.0,Summer,5.0,inland,
-7.0,66.0,,,overcast,986.3,0.0,Winter,4.5,inland,Snowy
12.0,83.0,5.0,54.0,overcast,1009.96,2.0,Winter,3.0,inland,
26.0,35.0,4.0,,clear,1021.07,9.0,Summer,6.5,mountain,Sunny
3.0,90.0,10.0,88.0,overcast,,0.0,Winter,5.0,mountain,Snowy
15.0,66.0,8.5,75.0,overcast,1001.76,1.0,Autumn,2.5,inland,Rainy
25.0,74.0,9.5,94.0,partly cloudy,991.25,2.0,Spring,1.5,inland,Rainy
-11.0,24.0,8.0,19.0,cloudy,851.63,8.0,,9.5,coastal,Rainy
47.0,,2.5,60.0,partly cloudy,885.57,5.0,,3.0,coastal,Cloudy
29.0,93.0,32.0,89.0,overcast,1008.32,12.0,Summer,4.5,coastal,Rainy
-7.0,96.0,16.5,,partly cloudy,993.55,0.0,Winter,5.0,inland,Snowy
27.0,62.0,8.0,13.0,clear,1028.64,8.0,Spring,8.0,mountain,Sunny
21.0,41.0,8.5,,clear,1010.11,11.0,Autumn,8.5,coastal,Sunny
16.0,63.0,8.0,14.0,partly cloudy,1016.32,1.0,Summer,5.5,,Cloudy
22.0,78.0,6.5,,partly cloudy,1017.49,3.0,Spring,7.0,inland,Cloudy
26.0,69.0,3.5,3.0,clear,1012.11,7.0,Autumn,10.0,,Sunny
30.0,57.0,11.5,49.0,,1000.09,2.0,Winter,7.0,coastal,Cloudy
23.0,99.0,14.0,76.0,partly cloudy,1011.51,2.0,Summer,1.5,mountain,Rainy
10.0,108.0,6.5,82.0,overcast,981.24,10.0,Winter,1.0,inland,Snowy
35.0,85.0,14.5,81.0,clear,1021.14,7.0,Winter,4.0,coastal,Sunny
33.0,58.0,,3.0,partly cloudy,1021.04,10.0,Spring,8.0,mountain,
26.0,68.0,13.0,37.0,partly cloudy,1003.85,2.0,Spring,8.0,inland,Cloudy
-3.0,,22.5,105.0,overcast,984.53,2.0,Winter,1.0,mountain,Snowy
30.0,54.0,4.0,33.0,partly cloudy,1009.9,4.0,Summer,5.5,inland,Cloudy
32.0,53.0,1.0,3.0,clear,1020.72,7.0,Winter,5.5,mountain,Sunny
27.0,98.0,,94.0,partly cloudy,1010.09,3.0,Spring,4.0,mountain,Rainy
64.0,73.0,26.5,76.0,partly cloudy,1003.76,5.0,Autumn,0.5,inland,Cloudy
,21.0,1.5,19.0,partly cloudy,1024.59,5.0,Summer,5.5,,Sunny
16.0,76.0,,99.0,overcast,1014.09,2.0,Spring,5.0,mountain,Rainy
23.0,,17.5,,partly cloudy,1017.57,5.0,Autumn,0.5,inland,Rainy
-9.0,93.0,6.5,54.0,overcast,,0.0,Winter,2.5,mountain,
30.0,64.0,8.0,91.0,overcast,1016.11,,,,coastal,Rainy
-11.0,72.0,3.5,69.0,overcast,,10.0,Winter,14.0,mountain,Rainy
2.0,86.0,13.5,72.0,partly cloudy,983.74,13.0,Winter,3.0,inland,Snowy
-4.0,108.0,0.5,92.0,overcast,985.17,5.0,,,inland,Snowy
10.0,51.0,5.0,15.0,overcast,1015.31,2.0,Summer,7.5,mountain,Cloudy
-1.0,36.0,8.0,60.0,overcast,1030.23,10.0,Spring,15.5,inland,Sunny
33.0,43.0,0.0,13.0,partly cloudy,1029.82,10.0,Spring,8.5,inland,Sunny
75.0,104.0,5.5,87.0,clear,1011.7,6.0,Summer,13.0,coastal,Sunny
,69.0,18.0,90.0,overcast,1012.44,2.0,Winter,2.0,coastal,Rainy
30.0,108.0,9.5,101.0,partly cloudy,1005.81,8.0,Winter,5.5,inland,Cloudy
,76.0,12.5,29.0,overcast,1011.93,3.0,Autumn,8.0,inland,Cloudy
20.0,61.0,,32.0,overcast,,2.0,Autumn,7.5,mountain,Cloudy
66.0,80.0,11.5,97.0,clear,1027.84,9.0,Spring,5.5,inland,Sunny
16.0,98.0,13.0,75.0,overcast,994.18,0.0,Autumn,1.5,inland,Rainy
-7.0,66.0,7.0,76.0,overcast,985.52,0.0,Winter,,mountain,Snowy
39.0,58.0,5.0,13.0,clear,1024.2,9.0,Autumn,7.0,inland,Sunny
,,5.5,82.0,overcast,1170.94,6.0,Autumn,,mountain,Cloudy
23.0,68.0,1.0,13.0,overcast,1002.42,3.0,,8.5,,Cloudy
18.0,56.0,3.5,15.0,overcast,1003.46,1.0,Summer,5.5,mountain,Cloudy
24.0,92.0,12.5,56.0,overcast,1013.18,3.0,Summer,5.0,inland,Rainy
-7.0,94.0,36.0,77.0,overcast,987.47,,,0.5,inland,Snowy
20.0,60.0,,37.0,overcast,,3.0,Winter,6.0,mountain,Cloudy
11.0,,2.5,65.0,overcast,966.42,6.0,Spring,4.0,coastal,Cloudy
23.0,41.0,8.0,18.0,,1027.83,7.0,Autumn,9.5,inland,
44.0,35.0,7.0,2.0,partly cloudy,1011.3,,,6.5,inland,Sunny
25.0,72.0,,96.0,overcast,1009.34,2.0,Winter,1.5,mountain,Rainy
20.0,75.0,13.0,32.0,partly cloudy,1002.16,3.0,Summer,8.0,inland,Cloudy
-7.0,,,91.0,overcast,990.96,1.0,Winter,5.0,,Snowy
-6.0,,38.0,97.0,partly cloudy,997.52,7.0,Winter,,mountain,Snowy
62.0,101.0,19.5,,overcast,1006.98,9.0,Spring,3.0,mountain,Cloudy
38.0,43.0,1.0,14.0,clear,1017.61,10.0,Autumn,6.5,mountain,Sunny
19.0,76.0,27.5,,partly cloudy,999.29,7.0,Winter,5.0,,Rainy
30.0,108.0,9.0,72.0,clear,1012.44,12.0,Summer,4.5,mountain,Sunny
26.0,72.0,10.0,94.0,overcast,1002.88,1.0,Summer,,coastal,Rainy
37.0,63.0,3.5,17.0,clear,1025.55,7.0,Winter,5.5,coastal,Sunny
39.0,35.0,9.5,71.0,cloudy,852.69,13.0,Autumn,1.0,inland,Cloudy
40.0,28.0,2.5,13.0,,1014.62,8.0,Summer,5.0,inland,Sunny
21.0,92.0,,88.0,overcast,1013.2,2.0,Winter,1.5,coastal,Rainy
32.0,59.0,3.0,,partly cloudy,,,Winter,,mountain,Cloudy
,90.0,6.0,54.0,overcast,994.68,0.0,Summer,3.0,inland,
37.0,61.0,3.0,,partly cloudy,,6.0,Autumn,,,
43.0,33.0,12.5,77.0,overcast,1154.78,14.0,Summer,7.5,inland,Sunny
,71.0,11.5,72.0,partly cloudy,1007.88,3.0,,,coastal,Rainy
85.0,72.0,11.5,101.0,clear,1028.71,6.0,Spring,7.0,mountain,
42.0,90.0,41.0,89.0,overcast,1003.01,6.0,,4.0,coastal,Rainy
11.0,65.0,3.5,47.0,partly cloudy,1013.23,4.0,Summer,8.0,mountain,
30.0,73.0,13.0,78.0,partly cloudy,999.13,0.0,Summer,2.5,coastal,Rainy
22.0,72.0,7.5,23.0,overcast,1005.36,3.0,Autumn,7.5,mountain,Cloudy
,72.0,13.5,28.0,overcast,1004.88,4.0,Autumn,8.0,mountain,Cloudy
33.0,76.0,7.5,24.0,overcast,,3.0,Autumn,6.0,coastal,Cloudy
34.0,73.0,6.5,92.0,overcast,991.93,1.0,Summer,5.0,inland,Rainy
22.0,46.0,12.0,50.0,cloudy,1021.36,11.0,Winter,4.5,,Cloudy
32.0,53.0,10.0,43.0,partly cloudy,1017.86,2.0,Autumn,5.5,coastal,
24.0,68.0,9.0,0.0,clear,1017.94,9.0,Winter,7.0,inland,Sunny
53.0,74.0,3.0,76.0,partly cloudy,1012.12,2.0,,11.5,inland,Sunny
21.0,104.0,26.0,95.0,partly cloudy,1008.13,13.0,Winter,8.5,inland,Cloudy
32.0,26.0,5.5,10.0,cloudy,1143.32,11.0,Spring,2.5,coastal,Rainy
44.0,30.0,2.0,2.0,clear,1019.88,11.0,Autumn,5.5,inland,Sunny
41.0,35.0,,70.0,partly cloudy,852.68,7.0,Winter,15.0,inland,Sunny
12.0,76.0,0.5,15.0,partly cloudy,1008.33,1.0,Autumn,6.0,coastal,Cloudy
25.0,63.0,4.0,0.0,clear,1022.5,6.0,Spring,9.5,inland,Sunny
-4.0,94.0,9.0,65.0,overcast,988.34,,Winter,3.5,mountain,Snowy
13.0,87.0,20.0,,partly cloudy,994.76,3.0,Winter,5.0,coastal,Rainy
42.0,75.0,8.0,77.0,overcast,1010.43,11.0,Spring,1.0,inland,Cloudy
-7.0,,14.0,58.0,overcast,,0.0,Winter,1.5,inland,Snowy
19.0,57.0,,19.0,partly cloudy,1018.46,2.0,Summer,6.0,inland,Cloudy
2.0,60.0,5.0,60.0,overcast,990.59,0.0,Winter,4.5,inland,
23.0,76.0,9.5,38.0,partly cloudy,1002.62,3.0,,,mountain,Cloudy
-9.0,68.0,15.5,83.0,overcast,995.49,0.0,Winter,4.0,mountain,Snowy
19.0,,44.0,83.0,overcast,1010.35,14.0,Summer,1.0,coastal,Rainy
37.0,109.0,21.0,94.0,partly cloudy,994.49,11.0,,3.5,mountain,Rainy
-1.0,96.0,3.5,76.0,partly cloudy,980.9,0.0,Winter,4.0,inland,Snowy
26.0,65.0,2.0,,partly cloudy,1011.74,4.0,Autumn,7.0,,Cloudy
10.0,78.0,8.5,,overcast,1000.02,1.0,Summer,2.5,inland,Rainy
,70.0,2.0,57.0,overcast,982.76,1.0,Winter,4.0,mountain,Snowy
-4.0,20.0,,66.0,overcast,897.46,4.0,Winter,2.0,coastal,Rainy
21.0,,12.0,33.0,partly cloudy,1010.11,2.0,Summer,7.5,coastal,Cloudy
23.0,83.0,6.0,56.0,overcast,1000.16,0.0,,2.5,mountain,Rainy
-15.0,93.0,3.0,,overcast,990.19,14.0,Winter,3.5,mountain,Snowy
26.0,74.0,8.5,61.0,partly cloudy,,2.0,Spring,2.0,mountain,Rainy
31.0,61.0,0.5,33.0,overcast,,3.0,Spring,8.0,coastal,
-6.0,34.0,1.5,42.0,partly cloudy,864.11,13.0,Autumn,,coastal,Rainy
12.0,,18.0,97.0,overcast,995.36,0.0,Spring,4.0,coastal,Rainy
13.0,55.0,7.5,18.0,overcast,1009.51,1.0,,8.0,,Cloudy
3.0,,33.0,86.0,overcast,990.47,,Winter,3.0,,Snowy
12.0,94.0,19.0,56.0,partly cloudy,,2.0,,3.5,coastal,Rainy
4.0,69.0,8.5,75.0,overcast,,0.0,Winter,4.0,mountain,Snowy
2.0,75.0,7.5,99.0,overcast,997.93,7.0,Winter,3.0,mountain,Snowy
38.0,,8.5,,clear,1013.57,5.0,Spring,5.5,mountain,Sunny
34.0,91.0,14.0,95.0,,,3.0,Winter,5.0,inland,
30.0,20.0,2.5,15.0,clear,1018.98,5.0,Spring,6.0,,Sunny
-8.0,81.0,10.0,75.0,overcast,991.05,8.0,,1.0,,
21.0,26.0,2.5,3.0,clear,1011.68,8.0,Summer,5.0,mountain,Sunny
-4.0,87.0,14.5,,overcast,,0.0,Winter,,mountain,Snowy
0.0,76.0,26.5,,overcast,,1.0,Winter,1.5,inland,Snowy
-10.0,95.0,18.5,58.0,overcast,984.49,0.0,Winter,3.0,inland,Snowy
42.0,50.0,1.0,11.0,clear,,11.0,Autumn,5.5,coastal,Sunny
-1.0,60.0,10.0,50.0,partly cloudy,992.7,0.0,Winter,1.0,mountain,Snowy
-9.0,92.0,5.0,69.0,partly cloudy,986.51,0.0,Winter,2.5,,Snowy
17.0,73.0,7.0,45.0,partly cloudy,1018.89,2.0,Summer,5.5,inland,Cloudy
41.0,22.0,0.5,10.0,clear,1016.47,5.0,Winter,7.5,coastal,Sunny
-6.0,73.0,6.5,92.0,overcast,980.75,,Winter,,mountain,Snowy
-4.0,92.0,18.5,70.0,overcast,982.16,0.0,Winter,4.0,inland,Snowy
,60.0,1.0,39.0,overcast,1009.34,3.0,,7.0,mountain,Cloudy
44.0,38.0,1.0,7.0,partly cloudy,1020.35,,Autumn,6.5,coastal,Sunny
43.0,52.0,10.0,43.0,cloudy,975.05,7.0,,18.5,,Rainy
3.0,70.0,2.0,68.0,cloudy,1159.16,12.0,Autumn,15.5,mountain,Sunny
3.0,64.0,2.5,78.0,overcast,989.12,1.0,Winter,2.0,inland,Snowy
38.0,47.0,1.5,8.0,clear,1017.81,,Spring,9.5,mountain,
3.0,68.0,6.0,82.0,overcast,988.65,0.0,,4.0,,Snowy
,,8.5,80.0,overcast,1008.45,0.0,Spring,2.0,inland,Rainy
,69.0,7.5,59.0,overcast,1011.17,3.0,,3.0,coastal,Rainy
21.0,68.0,,0.0,clear,1017.24,7.0,Spring,8.0,inland,Sunny
,,0.0,81.0,overcast,949.95,1.0,Summer,6.0,inland,Sunny
17.0,68.0,10.0,44.0,partly cloudy,1007.36,4.0,Spring,8.0,inland,Cloudy
2.0,69.0,7.5,84.0,cloudy,837.34,13.0,Summer,3.0,mountain,Snowy
11.0,59.0,8.5,15.0,overcast,1011.92,2.0,Winter,7.5,,Cloudy
34.0,96.0,10.0,62.0,overcast,1009.23,3.0,Summer,2.5,inland,Rainy
30.0,71.0,9.5,45.0,partly cloudy,1003.98,4.0,Winter,5.0,mountain,Cloudy
,32.0,5.0,,clear,1028.19,10.0,Summer,9.5,inland,Sunny
21.0,67.0,9.0,88.0,partly cloudy,1013.69,1.0,Winter,4.0,mountain,
20.0,58.0,,2.0,clear,1011.32,10.0,Autumn,6.0,,Sunny
27.0,81.0,,82.0,clear,1028.49,,Winter,11.5,mountain,Sunny
28.0,48.0,8.0,15.0,clear,1016.3,9.0,Autumn,7.0,coastal,Sunny
25.0,53.0,4.0,6.0,clear,1024.05,,Spring,8.0,mountain,Sunny
52.0,83.0,28.5,96.0,overcast,1000.28,,,0.5,coastal,
28.0,30.0,8.0,12.0,partly cloudy,1021.11,7.0,Spring,,inland,Sunny
,95.0,5.5,78.0,,1002.44,3.0,Autumn,8.5,mountain,Cloudy
1.0,95.0,9.5,75.0,overcast,988.27,1.0,Winter,5.0,inland,Snowy
28.0,,0.0,28.0,overcast,1002.12,,Spring,6.0,coastal,Cloudy
34.0,38.0,5.0,13.0,clear,,10.0,Winter,7.0,coastal,
25.0,64.0,6.0,34.0,partly cloudy,1004.09,1.0,Autumn,7.0,mountain,Cloudy
-19.0,93.0,7.5,103.0,partly cloudy,,14.0,Winter,2.0,,Snowy
22.0,65.0,,31.0,partly cloudy,1016.64,4.0,Summer,6.5,mountain,Cloudy
36.0,54.0,3.5,9.0,clear,1023.47,7.0,Winter,7.0,coastal,Sunny
28.0,65.0,13.0,86.0,partly cloudy,1006.89,2.0,Autumn,2.5,coastal,Rainy
43.0,62.0,8.0,3.0,clear,1020.18,7.0,,6.5,,Sunny
11.0,83.0,33.0,104.0,partly cloudy,1005.89,9.0,Summer,4.5,coastal,Cloudy
,80.0,12.0,67.0,overcast,980.94,0.0,Winter,4.5,,Snowy
30.0,25.0,8.5,4.0,clear,1023.11,8.0,Winter,9.5,inland,Sunny
,27.0,13.0,22.0,partly cloudy,,6.0,Winter,9.5,mountain,Sunny
20.0,41.0,2.5,11.0,clear,,10.0,Autumn,6.0,coastal,Sunny
22.0,74.0,0.5,39.0,partly cloudy,1017.46,3.0,Winter,7.0,mountain,Cloudy
97.0,100.0,5.0,96.0,clear,1018.66,10.0,,,inland,Sunny
-4.0,,2.0,81.0,overcast,993.59,1.0,Winter,2.5,inland,Snowy
,66.0,11.0,23.0,overcast,1017.69,2.0,Winter,5.0,inland,Cloudy
27.0,53.0,2.0,8.0,partly cloudy,1028.55,7.0,Spring,9.5,inland,Sunny
-4.0,98.0,0.5,54.0,overcast,985.51,0.0,Winter,3.0,mountain,Snowy
32.0,66.0,13.0,21.0,partly cloudy,1006.06,3.0,,7.0,inland,Cloudy
,102.0,31.0,85.0,partly cloudy,995.1,9.0,,1.5,inland,
24.0,23.0,9.0,,clear,1020.46,7.0,Winter,7.0,,Sunny
2.0,61.0,19.5,85.0,overcast,996.86,1.0,Winter,3.0,inland,Snowy
,72.0,15.5,96.0,partly cloudy,997.0,0.0,,,mountain,Snowy
28.0,92.0,19.5,78.0,overcast,1017.8,2.0,Autumn,2.0,coastal,Rainy
28.0,86.0,,70.0,overcast,1013.96,,Summer,2.5,coastal,Rainy
-6.0,99.0,14.0,72.0,overcast,984.73,0.0,Winter,4.0,mountain,Snowy
,,13.0,48.0,partly cloudy,1018.23,3.0,Winter,8.5,inland,Cloudy
-4.0,96.0,20.5,76.0,overcast,992.65,,Winter,2.5,inland,
-9.0,86.0,25.0,85.0,,982.06,10.0,Winter,2.5,mountain,Snowy
32.0,64.0,15.5,96.0,overcast,1019.47,0.0,Autumn,,mountain,Rainy
-10.0,86.0,19.5,79.0,partly cloudy,991.64,0.0,Winter,2.0,mountain,Snowy
28.0,63.0,4.5,18.0,,1013.83,11.0,Autumn,8.5,inland,Sunny
28.0,71.0,20.0,59.0,overcast,998.86,3.0,Winter,1.5,mountain,Rainy
32.0,31.0,,29.0,partly cloudy,,7.0,Autumn,6.0,,Sunny
12.0,99.0,18.0,65.0,overcast,1010.8,1.0,Winter,1.5,inland,Rainy
4.0,78.0,9.0,79.0,overcast,983.75,0.0,Winter,5.0,inland,
25.0,54.0,12.0,49.0,overcast,1003.54,4.0,Winter,5.0,coastal,
32.0,73.0,5.5,73.0,partly cloudy,1005.24,2.0,Winter,2.5,inland,Rainy
33.0,36.0,9.0,0.0,partly cloudy,1020.17,11.0,Summer,,inland,
84.0,81.0,2.0,71.0,clear,1010.56,10.0,Spring,4.0,,Sunny
-6.0,93.0,2.5,,partly cloudy,,1.0,Winter,2.0,mountain,Snowy
31.0,,7.5,49.0,partly cloudy,1015.65,1.0,Winter,7.0,,Cloudy
,53.0,10.5,39.0,overcast,1008.15,3.0,Spring,8.5,mountain,Cloudy
14.0,,8.5,26.0,partly cloudy,1018.16,4.0,Spring,6.5,mountain,
33.0,63.0,10.0,39.0,overcast,1003.66,4.0,Autumn,8.0,,
-15.0,70.0,14.0,69.0,overcast,857.72,,Summer,9.5,mountain,Sunny
29.0,44.0,4.0,19.0,clear,1023.01,10.0,Winter,9.5,inland,Sunny
0.0,76.0,16.0,60.0,partly cloudy,999.71,1.0,Winter,3.5,mountain,Snowy
48.0,33.0,6.5,55.0,overcast,927.67,,,1.0,coastal,Sunny
34.0,79.0,1.5,,overcast,,1.0,Winter,8.5,coastal,Cloudy
18.0,62.0,13.5,,overcast,1186.57,,Summer,17.5,inland,Rainy
38.0,36.0,2.0,7.0,clear,1024.42,,Spring,10.0,mountain,
1.0,69.0,15.0,,overcast,997.52,0.0,Winter,4.5,mountain,Snowy
11.0,63.0,8.0,91.0,overcast,1008.25,0.0,,1.5,mountain,Rainy
9.0,33.0,9.0,20.0,partly cloudy,857.34,,Spring,10.5,mountain,Rainy
-5.0,79.0,9.5,72.0,overcast,990.42,1.0,Winter,2.5,,Snowy
13.0,99.0,18.5,70.0,overcast,1008.25,1.0,,,,Rainy
20.0,90.0,17.0,75.0,overcast,1017.62,3.0,,2.5,mountain,Rainy
23.0,21.0,9.5,12.0,partly cloudy,1015.87,6.0,Summer,7.0,coastal,Sunny
-6.0,76.0,12.0,46.0,cloudy,931.12,,,4.0,inland,
25.0,40.0,9.5,14.0,clear,1026.38,6.0,Autumn,7.5,inland,
,56.0,8.0,14.0,partly cloudy,1015.38,7.0,Autumn,7.0,inland,
22.0,42.0,4.0,8.0,clear,1028.58,8.0,Spring,8.0,coastal,Sunny
1.0,98.0,,54.0,overcast,997.26,0.0,Winter,2.5,inland,Snowy
27.0,78.0,,21.0,partly cloudy,1019.21,2.0,Autumn,6.5,coastal,Cloudy
,46.0,2.0,12.0,clear,1014.9,8.0,Winter,9.5,,Sunny
26.0,98.0,12.0,63.0,partly cloudy,1008.53,3.0,Winter,2.5,coastal,
,91.0,24.5,73.0,overcast,1017.53,2.0,Winter,0.5,,Rainy
60.0,91.0,,100.0,partly cloudy,1022.88,10.0,Summer,13.0,coastal,Sunny
27.0,89.0,8.0,85.0,partly cloudy,1018.88,5.0,Spring,9.0,coastal,Sunny
-18.0,28.0,5.5,42.0,partly cloudy,938.68,8.0,Autumn,2.0,coastal,Rainy
-5.0,92.0,9.0,84.0,overcast,998.06,1.0,Winter,4.5,mountain,Snowy
2.0,,10.0,59.0,overcast,997.45,0.0,Winter,,mountain,
19.0,64.0,5.5,27.0,partly cloudy,1003.31,,Autumn,8.0,inland,Cloudy
24.0,66.0,1.0,12.0,clear,1022.17,9.0,Autumn,10.0,coastal,Sunny
41.0,103.0,,93.0,overcast,1009.0,6.0,Autumn,11.0,,Cloudy
,79.0,7.0,34.0,overcast,1019.41,1.0,Summer,7.0,coastal,Cloudy
30.0,54.0,12.0,35.0,partly cloudy,1017.78,1.0,,6.0,mountain,Cloudy
21.0,108.0,34.0,82.0,overcast,,6.0,Winter,5.0,,Cloudy
36.0,,3.0,16.0,clear,1015.2,11.0,Spring,9.5,coastal,Sunny
12.0,69.0,8.0,34.0,partly cloudy,1010.99,4.0,Autumn,7.0,inland,Cloudy
,66.0,8.5,23.0,overcast,1017.97,4.0,Spring,7.5,coastal,Cloudy
29.0,70.0,10.0,29.0,overcast,1004.78,4.0,Spring,7.5,inland,Cloudy
0.0,73.0,16.0,76.0,overcast,985.73,0.0,Winter,3.5,inland,Snowy
-6.0,,7.0,92.0,overcast,980.64,1.0,Winter,2.5,inland,Snowy
27.0,87.0,18.5,63.0,overcast,992.66,2.0,Summer,1.0,inland,Rainy
,76.0,7.5,68.0,overcast,981.83,1.0,Winter,3.5,inland,Snowy
,69.0,9.0,31.0,,1006.99,4.0,Spring,5.0,coastal,Cloudy
27.0,55.0,,10.0,clear,1011.66,6.0,Winter,9.0,inland,Sunny
-2.0,96.0,14.0,59.0,overcast,994.55,1.0,Winter,4.5,,Snowy
38.0,58.0,2.0,,partly cloudy,1020.46,5.0,,9.5,,Sunny
-5.0,60.0,,,overcast,995.4,1.0,Winter,5.0,mountain,Snowy
,77.0,0.5,93.0,overcast,,0.0,Winter,4.0,inland,Snowy
22.0,72.0,1.5,46.0,,1012.43,4.0,Autumn,,coastal,Cloudy
45.0,21.0,14.5,29.0,cloudy,827.53,,Winter,,inland,Snowy
33.0,66.0,10.5,99.0,partly cloudy,996.42,,Winter,5.0,mountain,Rainy
-1.0,78.0,12.5,,overcast,981.15,1.0,Winter,2.0,inland,Snowy
